date,sales
2017-04-26,21942.0
2017-04-27,18120.0
2017-04-28,20022.0
2017-05-01,1986.0
2017-05-02,16336.0
2017-05-03,16908.0
2017-05-04,33710.0
2017-05-05,25170.8
2017-05-07,4378.0
2017-05-08,17249.0
2017-05-09,16041.0
2017-05-10,24203.99
2017-05-11,14335.48
2017-05-12,24197.0
2017-05-14,32.0
2017-05-15,27208.176
2017-05-16,25085.852
2017-05-17,22298.5
2017-05-18,7862.6
2017-05-19,15114.0
2017-05-21,3846.0
2017-05-22,34723.47
2017-05-23,18720.0
2017-05-24,24220.0
2017-05-25,14129.0
2017-05-26,10698.0
2017-05-28,2787.0
2017-05-29,27787.0
2017-05-30,24734.0
2017-05-31,16004.0
2017-06-01,17002.0
2017-06-02,22148.0
2017-06-04,4599.0
2017-06-05,4376.0
2017-06-06,22228.0
2017-06-07,29663.0
2017-06-08,21299.0
2017-06-09,17538.0
2017-06-11,3057.0
2017-06-12,26677.08
2017-06-13,27801.16
2017-06-14,25958.94
2017-06-15,15294.5
2017-06-16,21513.0
2017-06-18,5340.0
2017-06-19,21003.0
2017-06-20,22711.0
2017-06-21,21681.0
2017-06-22,20705.0
2017-06-23,17603.402000000002
2017-06-25,4068.0
2017-06-26,27097.0
2017-06-27,20435.6
2017-06-28,26801.0
2017-06-29,22455.0
2017-06-30,25848.0
2017-07-01,60.0
2017-07-02,4934.0
2017-07-03,28678.0
2017-07-04,32399.0
2017-07-05,21176.0
2017-07-06,16952.248
2017-07-07,14938.4
2017-07-09,3883.0
2017-07-10,36382.096
2017-07-11,16916.0
2017-07-12,23064.0
2017-07-13,14033.268
2017-07-14,5789.0
2017-07-16,3091.0
2017-07-17,28033.536
2017-07-18,22868.0
2017-07-19,17843.5
2017-07-20,18768.78
2017-07-21,18466.5
2017-07-23,4802.0
2017-07-24,18072.0
2017-07-25,21722.0
2017-07-26,17155.0
2017-07-27,14308.1
2017-07-28,14770.0
2017-07-30,3751.0
2017-07-31,20846.2
2017-08-01,13387.4
2017-08-02,16827.5
2017-08-03,13226.0
2017-08-04,17763.0
2017-08-06,3139.0
2017-08-07,21614.0
2017-08-08,10446.0
2017-08-09,15943.0
2017-08-10,12960.0
2017-08-11,11387.0
2017-08-13,3958.0
2017-08-14,15155.0
2017-08-15,2634.2
2017-08-16,5965.0
2017-08-17,21466.0
2017-08-18,8619.294
2017-08-20,2972.0
2017-08-21,17722.0
2017-08-22,12930.15
2017-08-23,11866.0
2017-08-24,15320.134
2017-08-25,16040.0
2017-08-27,3894.0
2017-08-28,16302.0
2017-08-29,18831.0
2017-08-30,12732.0
2017-08-31,13514.0
2017-09-01,19628.0
2017-09-03,7193.0
2017-09-04,20639.48
2017-09-05,23405.0
2017-09-06,16566.0
2017-09-07,20360.0
2017-09-08,22404.0
2017-09-09,184.0
2017-09-10,5183.0
2017-09-11,21084.5
2017-09-12,27125.5
2017-09-13,10298.0
2017-09-14,22434.588
2017-09-15,22364.0
2017-09-17,4350.0
2017-09-18,21531.0
2017-09-19,19402.0
2017-09-20,15325.0
2017-09-21,14907.04
2017-09-22,15689.08
2017-09-24,3933.0
2017-09-25,19292.24
2017-09-26,16801.0
2017-09-27,19359.0
2017-09-28,21286.24
2017-09-29,16234.0
2017-09-30,116.0
2017-10-01,7108.0
2017-10-02,40943.0
2017-10-03,19425.0
2017-10-04,19105.0
2017-10-05,12530.0
2017-10-06,19647.0
2017-10-08,5302.0
2017-10-09,11185.0
2017-10-10,25296.0
2017-10-11,18800.6
2017-10-12,18609.0
2017-10-13,10090.0
2017-10-14,52.0
2017-10-15,5716.0
2017-10-16,29478.0
2017-10-17,11859.2
2017-10-18,13373.0
2017-10-19,13886.0
2017-10-20,16392.0
2017-10-21,5069.0
2017-10-22,15.0
2017-10-23,27451.0
2017-10-24,12448.092
2017-10-25,15972.0
2017-10-26,13382.0
2017-10-27,14256.0
2017-10-29,4378.0
2017-10-30,23996.0
2017-10-31,14041.0
2017-11-01,3664.0
2017-11-02,21808.0
2017-11-03,18700.0
2017-11-05,4128.0
2017-11-06,15218.0
2017-11-07,25425.0
2017-11-08,15075.0
2017-11-09,12040.0
2017-11-10,20632.0
2017-11-12,5937.0
2017-11-13,23423.0
2017-11-14,16427.784
2017-11-15,19539.0
2017-11-16,12678.0
2017-11-17,20476.9
2017-11-19,4733.0
2017-11-20,20096.0
2017-11-21,18089.1
2017-11-22,22871.0
2017-11-23,13490.764
2017-11-24,22833.0
2017-11-25,960.0
2017-11-26,3334.0
2017-11-27,20352.0
2017-11-28,15788.0
2017-11-29,12730.0
2017-11-30,13317.0
2017-12-01,18589.0
2017-12-03,5944.0
2017-12-04,26161.0
2017-12-05,11043.0
2017-12-06,16570.7
2017-12-07,15957.0
2017-12-08,20064.0
2017-12-09,5988.0
2017-12-10,440.0
2017-12-11,21950.0
2017-12-12,11401.0
2017-12-13,18492.0
2017-12-14,6686.528
2017-12-15,26753.0
2017-12-17,9216.0
2017-12-18,19214.0
2017-12-19,15672.08
2017-12-20,19650.932
2017-12-21,19409.06
2017-12-22,13241.0
2017-12-24,5157.0
2017-12-25,3943.0
2017-12-26,20059.0
2017-12-27,12749.0
2017-12-28,7667.0
2017-12-29,1059.7
2018-01-01,5994.0
2018-01-02,45292.0
2018-01-03,13143.0
2018-01-04,12025.0
2018-01-05,15621.0
2018-01-07,7314.0
2018-01-08,22055.0
2018-01-09,16482.4
2018-01-10,13757.0
2018-01-11,11398.0
2018-01-12,29196.0
2018-01-14,4640.0
2018-01-15,29374.0
2018-01-16,13540.0
2018-01-17,19822.0
2018-01-18,15172.0
2018-01-19,16899.0
2018-01-21,5390.0
2018-01-22,29488.0
2018-01-23,13220.9
2018-01-24,13362.0
2018-01-25,11995.864
2018-01-26,15137.0
2018-01-28,4039.0
2018-01-29,29114.0
2018-01-30,21097.0
2018-01-31,10955.67
2018-02-01,11731.764
2018-02-02,17482.0
2018-02-04,3814.0
2018-02-05,32213.87
2018-02-06,14636.0
2018-02-07,17557.0
2018-02-08,11397.0
2018-02-09,19473.0
2018-02-11,5728.0
2018-02-12,31480.0
2018-02-13,14413.0
2018-02-14,11864.128
2018-02-15,13760.0
2018-02-16,14315.0
2018-02-18,4555.0
2018-02-19,25162.0
2018-02-20,10656.0
2018-02-21,13074.0
2018-02-22,15075.0
2018-02-23,16512.176
2018-02-25,3459.0
2018-02-26,32570.0
2018-02-27,13645.0
2018-02-28,12019.0
2018-03-01,16162.0
2018-03-02,13996.0
2018-03-04,5056.0
2018-03-05,25907.0
2018-03-06,15308.0
2018-03-07,16516.0
2018-03-08,13494.0
